sname,sid,phone,email
윤인욱,2013004394     ,01056256058,amaclead@gmail.com
이현주,2010499349     ,01058712131,art@venere.org
김다현,2014001303     ,01068220334,calbares@gmail.com
김다미,2011040404     ,01078554051,donette.foller@cox.net
권희조,2014505050     ,01062384210,fletcher.flosi@yahoo.com
임지훈,2014019493     ,01056662093,gladys.rim@rim.org
최아랑,2013040051     ,01064989926,gruta@cox.net
정남아,2009003125     ,01095434668,jbutt@gmail.com
김관유,2010004052     ,01022215104,josephine_darakjy@darakjy.org
윤지형,2013030128     ,01058290113,kiley.caldarera@aol.com
노선영,2013001445     ,01089941847,kris@gmail.com
최다비드,2012030303     ,01060294130,leota@hotmail.com
한준희,2011004533     ,01080969723,lpaprocki@hotmail.com
이상덕,2014002331     ,01043813720,mattie@aol.com
장두호,2014005004     ,01096385105,meaghan@hotmail.com
윤준영,2013004004     ,01092039494,minna_amigon@yahoo.com
오든솔,2012004203     ,01094753033,mitsue_tollner@yahoo.com
이지은,2012394929     ,01020374564,sage_wieser@cox.net
김동관,2012004003     ,01035039847,simona@morasca.com
권지현,2014040404     ,01085931087,yuki_whobrey@aol.com
